ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,68,78,0,1,147,146,96,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,68,77,0,0,144,145,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,68,77,0,0,146,146,99,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,18,0,1,0,0,0,68,79,0,0,140,139,98,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,14,22,0,0,0,0,0,68,77,0,0,152,153,97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,68,76,0,0,144,143,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,76,0,0,144,145,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,68,76,0,0,144,143,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,77,0,0,144,144,94,0,0,0,0,0,0,0,0,0,0,0
0,0,0,775,0,0,955,0,0,8,15,0,0,0,0,0,68,76,0,0,144,144,91,0,0,0,0,0,0,0,0,0,0,0
67110,464646,0,0,0,0,0,0,0,6,14,0,0,0,0,0,68,76,0,0,143,143,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,68,77,0,1,145,144,93,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,68,76,0,0,145,145,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,68,75,0,0,143,143,90,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,68,76,0,1,144,143,89,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,68,76,0,0,144,145,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,68,76,0,0,143,142,91,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,77,0,0,147,147,96,0,0,0,0,0,0,0,0,0,0,0
