ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
3097984,2603498,0,48345,0,0,48129,0,24642,24216,23789,0,0,0,0,0,68,68,0,0,44699,45335,22874,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13951,13710,13032,0,0,0,0,0,68,68,0,0,21272,20652,9955,0,0,0,0,0,0,0,0,0,0,0
1654548,1397648,0,25799,0,0,25798,0,13215,13592,13991,0,0,0,0,0,68,68,0,0,47326,50088,25795,0,0,0,0,0,0,0,0,0,0,0
2368490,1968958,0,36982,0,0,36420,0,36137,37426,37078,0,0,0,0,0,68,68,0,0,84571,84054,41831,0,0,0,0,0,0,0,0,0,0,0
2632810,2107382,0,41111,0,0,38966,0,39128,40484,37953,0,0,0,0,0,74,80,0,0,55295,53084,26061,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14433,14363,14234,0,0,0,0,0,68,68,0,0,25050,25452,13293,0,0,0,0,0,0,0,0,0,0,0
1800094,1514422,0,28083,0,0,27965,0,15488,15776,16522,0,0,0,0,0,68,68,0,0,32610,32286,15590,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9469,9046,8065,0,0,0,0,0,68,68,0,0,11882,11736,5769,0,0,0,0,0,0,0,0,0,0,0
1495690,1261952,0,23308,0,0,23272,0,9063,9264,9130,0,0,0,0,0,68,68,0,0,17823,17755,8870,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5616,5678,5635,0,0,0,0,0,68,68,0,0,11450,11487,5830,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5586,5679,5774,0,0,0,0,0,68,68,0,0,11250,11625,5704,0,0,0,0,0,0,0,0,0,0,0
1344862,1130250,0,20933,0,0,20804,0,6327,6302,6231,0,0,0,0,0,68,68,0,0,13535,13164,6623,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5704,5499,5531,0,0,0,0,0,68,68,0,0,10602,10652,5557,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6067,6079,6081,0,0,0,0,0,68,68,0,0,12246,12192,5835,0,0,0,0,0,0,0,0,0,0,0
0,999845,0,18454,0,0,18388,0,6161,6277,6173,0,0,0,0,0,68,68,0,0,12797,12886,6439,0,0,0,0,0,0,0,0,0,0,0
1186228,0,0,0,0,0,0,0,6441,6416,6386,0,0,0,0,0,68,68,0,0,12607,12494,6234,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6088,6087,6125,0,0,0,0,0,68,68,0,0,12097,12313,6155,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,18663,0,5580,5647,5891,0,0,0,0,0,68,68,0,0,12330,12198,6132,0,0,0,0,0,0,0,0,0,0,0
