Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2-192.168.1.10-34955-161-17,192.168.1.2,34955,192.168.1.10,161,17,25/02/2021 10:58:30 AM,5014,1,3,43.0,134.0,43.0,43.0,43.0,0.0,46.0,42.0,44.666666666666664,2.309401076758503,35301.156761069,797.7662544874352,1671.3333333333335,2323.581789680177,4351.0,215.0,0,0,0,0,0,5014.0,2507.0,2911.865724926203,4566.0,448.0,0,0,0,0,8,24,199.4415636218588,598.3246908655764,42.0,46.0,43.8,2.04939015319192,4.2,0,0,0,0,0,0,0,0,3.0,54.75,43.0,44.666666666666664,0,0,0,0,0,0,1,43,3,134,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-35295-161-17,192.168.1.2,35295,192.168.1.10,161,17,25/02/2021 10:58:41 AM,8093,1,3,43.0,134.0,43.0,43.0,43.0,0.0,46.0,42.0,44.666666666666664,2.309401076758503,21870.752502162362,494.2542938341777,2697.6666666666665,1557.5269928105045,3954.0,955.0,0,0,0,0,0,8093.0,4046.5,1219.7591975467944,4909.0,3184.0,0,0,0,0,8,24,123.56357345854443,370.6907203756333,42.0,46.0,43.8,2.04939015319192,4.2,0,0,0,0,0,0,0,0,3.0,54.75,43.0,44.666666666666664,0,0,0,0,0,0,1,43,3,134,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-39423-161-17,192.168.1.2,39423,192.168.1.10,161,17,25/02/2021 10:58:39 AM,6459,1,3,45.0,137.0,45.0,45.0,45.0,0.0,46.0,45.0,45.666666666666664,0.5773502691896257,28177.736491716983,619.2909119058678,2153.0,2482.961739536073,5018.0,626.0,0,0,0,0,0,6459.0,3229.5,3414.618646349838,5644.0,815.0,0,0,0,0,8,24,154.82272797646695,464.4681839294008,45.0,46.0,45.4,0.5477225575051664,0.30000000000000027,0,0,0,0,0,0,0,0,3.0,56.75,45.0,45.666666666666664,0,0,0,0,0,0,1,45,3,137,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
169.254.192.93-169.254.255.255-137-137-17,169.254.192.93,137,169.254.255.255,137,17,25/02/2021 10:58:37 AM,1496159,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,100.25672405138758,2.005134481027752,748079.5,1888.6822125492683,749415.0,746744.0,746744.0,746744.0,0.0,746744.0,746744.0,0,0,0,0,0,0,0,0,0,16,8,1.3367563206851678,0.6683781603425839,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-56319-161-17,192.168.1.2,56319,192.168.1.10,161,17,25/02/2021 10:58:45 AM,1974,1,3,45.0,137.0,45.0,45.0,45.0,0.0,46.0,45.0,45.666666666666664,0.5773502691896257,92198.58156028368,2026.3424518743668,658.0,734.9959183560137,1505.0,188.0,0,0,0,0,0,1974.0,987.0,998.4347750354051,1693.0,281.0,0,0,0,0,8,24,506.5856129685917,1519.756838905775,45.0,46.0,45.4,0.5477225575051664,0.30000000000000027,0,0,0,0,0,0,0,0,3.0,56.75,45.0,45.666666666666664,0,0,0,0,0,0,1,45,3,137,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-56636-161-17,192.168.1.2,56636,192.168.1.10,161,17,25/02/2021 10:58:36 AM,6165,1,3,43.0,132.0,43.0,43.0,43.0,0.0,46.0,42.0,44.0,2.0,28386.050283860503,648.82400648824,2055.0,2250.1339960100154,4653.0,726.0,0,0,0,0,0,6165.0,3082.5,3247.7414459898127,5379.0,786.0,0,0,0,0,8,24,162.20600162206,486.61800486618,42.0,46.0,43.4,1.6733200530681511,2.8,0,0,0,0,0,0,0,0,3.0,54.25,43.0,44.0,0,0,0,0,0,0,1,43,3,132,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-41981-161-17,192.168.1.2,41981,192.168.1.10,161,17,25/02/2021 10:58:35 AM,6966,1,3,43.0,132.0,43.0,43.0,43.0,0.0,46.0,42.0,44.0,2.0,25122.021246052253,574.2176284811944,2322.0,3169.553280826811,5978.0,348.0,0,0,0,0,0,6966.0,3483.0,4020.609157826709,6326.0,640.0,0,0,0,0,8,24,143.5544071202986,430.66322136089576,42.0,46.0,43.4,1.6733200530681513,2.8000000000000007,0,0,0,0,0,0,0,0,3.0,54.25,43.0,44.0,0,0,0,0,0,0,1,43,3,132,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-58148-161-17,192.168.1.2,58148,192.168.1.10,161,17,25/02/2021 10:58:39 AM,5459,1,3,45.0,137.0,45.0,45.0,45.0,0.0,46.0,45.0,45.666666666666664,0.5773502691896257,33339.43945777615,732.7349331379373,1819.6666666666665,1856.0690540314856,3956.0,603.0,0,0,0,0,0,5459.0,2729.5,2587.3037123615773,4559.0,900.0,0,0,0,0,8,24,183.18373328448433,549.551199853453,45.0,46.0,45.4,0.5477225575051664,0.30000000000000027,0,0,0,0,0,0,0,0,3.0,56.75,45.0,45.666666666666664,0,0,0,0,0,0,1,45,3,137,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-34736-161-17,192.168.1.2,34736,192.168.1.10,161,17,25/02/2021 10:58:36 AM,4513,1,3,43.0,132.0,43.0,43.0,43.0,0.0,46.0,42.0,44.0,2.0,38776.86682916021,886.328384666519,1504.3333333333335,1799.2443784359402,3578.0,357.0,0,0,0,0,0,4513.0,2256.5,2373.75746444324,3935.0,578.0,0,0,0,0,8,24,221.58209616662975,664.7462884998893,42.0,46.0,43.4,1.6733200530681511,2.8,0,0,0,0,0,0,0,0,3.0,54.25,43.0,44.0,0,0,0,0,0,0,1,43,3,132,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.2-192.168.1.10-39726-161-17,192.168.1.2,39726,192.168.1.10,161,17,25/02/2021 10:58:34 AM,4252,1,3,45.0,137.0,45.0,45.0,45.0,0.0,46.0,45.0,45.666666666666664,0.5773502691896257,42803.38664158044,940.7337723424272,1417.3333333333335,1988.8801706823197,3713.0,214.0,0,0,0,0,0,4252.0,2126.0,2546.998625833944,3927.0,325.0,0,0,0,0,8,24,235.1834430856068,705.5503292568204,45.0,46.0,45.4,0.5477225575051664,0.30000000000000027,0,0,0,0,0,0,0,0,3.0,56.75,45.0,45.666666666666664,0,0,0,0,0,0,1,45,3,137,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
