Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0.241.67.105-82.49.0.5-0-0-0,82.49.0.5,0,0.241.67.105,0,0,10/11/2020 12:56:50 AM,58387093,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03425414586062711,5.8387093E7,0.0,5.8387093E7,5.8387093E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017127072930313555,0.017127072930313555,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,5.8387093E7,0.0,5.8387093E7,5.8387093E7,No Label
1.2.3.4-63.6.10.5-0-0-0,63.6.10.5,0,1.2.3.4,0,0,10/11/2020 12:56:32 AM,117179431,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01706784188088437,1.17179431E8,0.0,1.17179431E8,1.17179431E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008533920940442185,0.008533920940442185,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.17179431E8,0.0,1.17179431E8,1.17179431E8,No Label
1.2.3.4-63.6.186.172-0-0-0,63.6.186.172,0,1.2.3.4,0,0,10/11/2020 12:56:52 AM,26234996,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07623405012144847,2.6234996E7,0.0,2.6234996E7,2.6234996E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03811702506072424,0.03811702506072424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,2.6234996E7,0.0,2.6234996E7,2.6234996E7,No Label
1.2.3.4-63.6.224.214-0-0-0,63.6.224.214,0,1.2.3.4,0,0,10/11/2020 12:56:40 AM,86356858,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03473956868602144,4.3178429E7,5.045985408332103E7,7.8858934E7,7497924.0,7.8858934E7,7.8858934E7,0.0,7.8858934E7,7.8858934E7,0,0,0,0,0,0,0,0,0,0,0,0.023159712457347624,0.011579856228673812,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.3178429E7,5.045985408332103E7,7.8858934E7,7497924.0,No Label
1.2.3.4-63.6.204.186-0-0-0,63.6.204.186,0,1.2.3.4,0,0,10/11/2020 12:56:38 AM,39711530,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05036320685705133,3.971153E7,0.0,3.971153E7,3.971153E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025181603428525667,0.025181603428525667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.971153E7,0.0,3.971153E7,3.971153E7,No Label
1.2.3.4-63.6.132.217-0-0-0,63.6.132.217,0,1.2.3.4,0,0,10/11/2020 12:57:00 AM,115108001,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026062480226722032,5.75540005E7,6.403472955530104E7,1.02833392E8,1.2274609E7,1.2274609E7,1.2274609E7,0.0,1.2274609E7,1.2274609E7,0,0,0,0,0,0,0,0,0,0,0,0.01737498681781469,0.008687493408907345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,5.75540005E7,6.403472955530104E7,1.02833392E8,1.2274609E7,No Label
1.2.3.4-63.6.253.48-0-0-0,63.6.253.48,0,1.2.3.4,0,0,10/11/2020 12:56:28 AM,60311455,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049741794489952196,3.01557275E7,2.626179948216467E7,4.8725624E7,1.1585831E7,4.8725624E7,4.8725624E7,0.0,4.8725624E7,4.8725624E7,0,0,0,0,0,0,0,0,0,0,0,0.0331611963266348,0.0165805981633174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,3.01557275E7,2.626179948216467E7,4.8725624E7,1.1585831E7,No Label
1.2.3.4-63.6.71.230-0-0-0,63.6.71.230,0,1.2.3.4,0,0,10/11/2020 12:56:41 AM,102778073,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019459403563637546,1.02778073E8,0.0,1.02778073E8,1.02778073E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009729701781818773,0.009729701781818773,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.02778073E8,0.0,1.02778073E8,1.02778073E8,No Label
1.2.3.4-63.6.127.200-0-0-0,63.6.127.200,0,1.2.3.4,0,0,10/11/2020 12:56:54 AM,119945542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016674233711828988,1.19945542E8,0.0,1.19945542E8,1.19945542E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008337116855914494,0.008337116855914494,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.19945542E8,0.0,1.19945542E8,1.19945542E8,No Label
1.2.3.4-63.6.31.35-0-0-0,63.6.31.35,0,1.2.3.4,0,0,10/11/2020 12:56:50 AM,89089716,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02244928022893237,8.9089716E7,0.0,8.9089716E7,8.9089716E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011224640114466186,0.011224640114466186,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,8.9089716E7,0.0,8.9089716E7,8.9089716E7,No Label
